date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-09-17,111000,135000,91000,111500,17373529,1937148483500,0.0,488893,-1769192,1311647,1006253,224264,-9635,184782,9965,-71690,-33703,2355,-32292
2021-09-23,112000,113000,99000,99100,2914293,288806436300,-11.1211,301914,-386213,91485,91342,37343,-81279,36408,2151,5284,-7229,43,236
2021-09-24,100000,102000,95500,99200,2262592,224449126400,0.1009,-78083,-106838,186650,104160,42010,9385,20391,4180,6180,-558,-1171,344
2021-09-27,98300,99400,96500,97000,672212,65204564000,-2.2177,-109001,9863,99499,64388,15181,4694,8635,300,5545,-205,-156,756
2021-09-28,98000,103000,97000,100000,1037427,103742700000,3.0928,-158996,51,155322,97400,22293,11882,15674,1224,5822,3893,-270,1027
2021-09-29,98300,108000,98000,107500,1435139,154277442500,7.5,-211183,22015,176204,54286,90467,-3066,12776,-1014,10886,13522,-558,11869
2021-09-30,107500,117000,106000,115500,1704373,196855081500,7.4419,-153656,-33857,162437,93775,24361,20983,17474,977,5393,22218,2858,-526
2021-10-01,114500,119500,109000,113500,1203513,136598725500,-1.7316,-28846,-25021,44019,14026,20348,4016,-4416,0,9175,7083,2765,870
2021-10-05,111500,112500,104500,104500,706523,73831653500,-7.9295,26393,-10511,-13348,3431,1819,-23006,5133,45,-770,-75,-2459,0
2021-10-06,107000,111500,105500,107000,797435,85325545000,2.3923,-90030,11528,77697,65788,8016,-988,5687,113,-919,208,597,0
2021-10-07,109000,112000,107000,109500,474072,51910884000,2.3364,-51844,19419,32999,28461,152,1238,6178,0,-2946,-223,-351,-84
2021-10-08,109500,110000,103000,104500,423907,44298281500,-4.5662,-1350,-3821,6704,12389,-6406,-7874,7946,1649,-1000,-1466,-67,0
2021-10-12,104000,106000,100500,101000,292797,29572497000,-3.3493,28207,1824,-30803,8305,1106,482,636,148,-42054,662,110,574
2021-10-13,101500,103000,99800,102000,252749,25780398000,0.9901,-24098,3445,19280,6569,2512,1312,9059,278,-450,1403,-30,0
2021-10-14,103000,103000,100000,102000,248276,25324152000,0.0,-20481,5999,14233,6359,1127,269,5377,0,1101,283,-34,0
2021-10-15,104500,107000,103500,105000,292470,30709350000,2.9412,-63519,28767,34349,25266,6867,749,2446,0,-979,-272,675,0
2021-10-18,103000,104000,100000,101500,659149,66903623500,-3.3333,238096,-14288,-217476,28889,-22193,-174767,-1753,0,-29302,-7418,1086,-18350
2021-10-19,102500,103000,100000,101500,332255,33723882500,0.0,-13381,-6409,20117,38486,-5054,-11289,160,0,-2086,39,-366,-100
2021-10-20,101500,102500,100000,100500,269309,27065554500,-0.9852,30989,-5699,-21979,9251,-12488,-13790,929,0,-4655,-3175,-136,-1226
2021-10-21,100500,102500,100000,100500,239165,24036082500,0.0,-17083,4622,17492,36526,-16434,-1973,1219,134,-1980,-5074,43,0
2021-10-22,101000,101500,100000,101000,169264,17095664000,0.4975,-19148,-7048,29233,25465,4638,-5546,3254,5000,-3578,-3031,-6,0
2021-10-25,100500,106500,100000,106000,516573,54756738000,4.9505,-104494,50699,57284,70676,7095,-27981,13803,9,-5286,-3530,41,-1032
2021-10-26,106500,109500,104000,108500,388727,42176879500,2.3585,-99573,-10328,113269,120578,-3878,-25433,6484,0,15568,-3495,127,-50
2021-10-27,108500,116500,108000,113500,771405,87554467500,4.6083,-231965,24248,208312,127998,42504,4738,9132,308,21998,-232,-363,1634
2021-10-28,114500,118000,111000,112000,569668,63802816000,-1.3216,-94100,-23424,123593,86215,11902,2547,2798,0,19856,-6003,-66,275
2021-10-29,113500,119000,113000,117000,693739,81167463000,4.4643,-142278,51427,92619,112954,-9398,-15480,5871,0,-1328,-1336,-432,0
2021-11-01,116500,119000,113500,118500,385442,45674877000,1.2821,-54014,-13884,68954,76161,-714,-5509,-2783,159,1640,-1334,278,0
2021-11-02,118500,119000,113500,116000,368462,42741592000,-2.1097,-28001,11854,16517,39182,-2510,-14884,-6239,-1206,2160,-550,180,14
2021-11-03,116000,117500,112500,116500,281713,32819564500,0.431,-76704,62438,14743,24591,-3435,-4678,-4325,0,2590,-564,87,0
