date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2020-10-15,267300,347490,250965,255420,6557212,1674843089040,0.0,818068,-207400,-28913,185232,67117,-217307,33880,-1126,-64805,-585400,3645,-31904
2020-10-16,250469,250469,197010,198495,4504395,894099885525,-22.2868,738955,-108430,-21814,54677,42905,-125751,7925,-137,-2117,-610612,1901,684
2020-10-19,196515,200475,185129,187110,1977996,370102831560,-5.7357,56591,-20759,-40922,21923,14150,-92117,12346,-296,2765,4240,850,307
2020-10-20,188100,191565,174240,180675,1811616,327313720800,-3.4392,223676,-18550,-210903,17023,6817,-242082,6542,170,-66,5771,6,693
2020-10-21,178695,183645,175230,177210,1658643,293928126030,-1.9178,139090,20588,-156134,12853,6910,-181418,3625,0,1676,-401,-3143,220
2020-10-22,174735,183150,173745,178200,1193994,212769730800,0.5587,-71614,17701,51468,20515,11639,2228,12869,110,3345,2749,-304,762
2020-10-23,181170,182160,169785,170775,905547,154644788925,-4.1667,-23926,25496,1210,6441,784,-7184,1171,0,-2,-3232,452,0
2020-10-26,171270,171765,154440,154440,987951,152579152440,-9.5652,58598,3641,-60530,-13971,-7394,-24936,-5808,0,-8489,-1608,-101,68
2020-10-27,152955,164340,150975,160875,1118487,179936596125,4.1667,-51775,16166,35884,22937,2111,10074,1595,99,-932,-126,-149,0
2020-10-28,159885,161865,155925,156915,581195,91198213425,-2.4615,-22250,4665,16345,15184,2922,-2979,1050,0,164,526,714,4
2020-10-29,153945,159885,152955,155430,518248,80551286640,-0.9464,-1490,3274,5290,1143,4420,-2727,1755,0,730,-6554,-520,-31
2020-10-30,147510,149985,140580,140580,1142310,160585939800,-9.5541,137361,-44309,-93588,13815,-6047,-97065,-481,1051,-1084,489,47,-3777
2020-11-02,141075,145035,139590,142065,412881,58655939265,1.0563,-20659,2689,18155,21709,-965,-4792,225,0,2278,-142,-43,-300
2020-11-03,143055,150480,143055,150480,689435,103746178800,5.9233,-124756,51924,71146,21916,16620,25393,2627,554,3713,1258,428,323
2020-11-04,151965,151965,145530,147510,329773,48644815230,-1.9737,-22407,2975,17776,15247,3906,-1139,1071,0,-1309,1756,-100,0
2020-11-05,148995,171270,148500,162360,1565701,254207214360,10.0671,-85213,8139,75736,24294,8463,24496,8925,529,8170,1218,120,859
2020-11-06,162855,164340,157905,160380,413106,66253940280,-1.2195,-26671,11211,16460,10570,1024,6122,1073,-161,-2179,-1198,198,11
2020-11-09,162360,167805,159390,161370,429226,69264199620,0.6173,-8355,10667,-3029,5590,169,208,-2605,27,-6418,549,168,0
2020-11-10,166815,169785,164835,166320,491183,81693556560,3.0675,-82179,32223,52583,13603,9579,21525,2960,-95,5011,-2469,-158,0
2020-11-11,168795,170280,161370,162360,295999,48058397640,-2.381,20456,-5432,-15943,5420,-7522,-2163,-2562,0,-9020,1082,-163,-96
2020-11-12,162360,162360,154440,155925,326268,50873337900,-3.9634,-7064,2709,1414,7466,-490,-270,-2570,-64,-2319,3350,-409,-339
2020-11-13,154935,160875,154440,158400,224605,35577432000,1.5873,-19504,7684,9529,-1973,6770,5717,-1502,0,517,2423,-132,0
2020-11-16,153945,170280,152955,169785,1162127,197311732695,7.1875,-1693,-28417,30736,68028,29978,-49873,18815,-303,-9146,233,-859,-26763
2020-11-17,167310,181170,163845,177705,925185,164410000425,4.6647,-130089,-21545,156616,73317,31943,16085,23931,594,14059,-5302,320,-3313
2020-11-18,179685,183645,176220,179685,418979,75284241615,1.1142,-33117,21932,11685,24290,123,-13781,2441,80,-266,-1836,1336,-1202
2020-11-19,179685,180675,174240,178200,287615,51252993000,-0.8264,-6905,2011,6619,39627,1593,-28521,3513,124,-9929,-1905,180,212
2020-11-20,180180,191070,176220,182655,822190,150177114450,2.5,-36432,20611,22188,42009,1395,-20819,-244,0,255,-4558,-1809,-408
2020-11-23,183150,184140,176220,178200,404421,72067822200,-2.439,19088,8961,-23690,33558,-15199,-34065,-1301,24,-6712,-4526,167,5
2020-11-24,179190,179685,172260,179190,387623,69458165370,0.5556,-8725,30884,-17894,5521,-10826,-8579,-699,-140,-3061,-4376,111,-110
2020-11-25,181665,182655,170775,172260,441052,75975617520,-3.8674,29423,-14906,-15184,2679,3820,-16287,-1220,-70,-3566,353,314,-540
2020-11-26,175230,179685,173250,174240,343663,59879841120,1.1494,-17767,-6872,23434,32249,-1392,-10537,465,0,2594,765,440,55
2020-11-27,176220,176715,173250,176220,128351,22618013220,1.1364,-9165,1078,6462,13347,-803,-7382,109,0,1180,1204,421,11
2020-11-30,176220,179190,174735,177705,177706,31579244730,0.8427,-41844,14228,28259,28371,-1273,-70,1071,0,160,-70,-573,0
2020-12-01,180675,183150,177705,179190,328175,58805678250,0.8357,-6712,3675,4844,29798,-4819,-22606,1732,0,1193,-1356,-451,-454
2020-12-02,181170,181170,178200,180180,195743,35268973740,0.5525,-48051,23029,25881,26136,-648,-864,2071,0,-738,-584,-275,-76
2020-12-03,181665,188594,180180,187605,666358,125012092590,4.1209,-68398,13691,51078,50192,5200,-4683,1037,-500,-776,2986,643,608
2020-12-04,187110,187604,183150,185625,258344,47955105000,-1.0554,-27640,15118,7671,5338,2176,-6253,6104,-139,430,4936,-85,15
2020-12-07,186615,186615,178200,178695,254368,45454289760,-3.7333,21645,16646,-30917,3337,-15187,-18280,-264,0,-523,-7483,109,0
2020-12-08,178200,181665,175230,180180,203373,36643747140,0.831,-32413,9232,25657,36195,-4599,-5476,3061,0,673,-1621,-855,-4197
2020-12-09,181170,181170,178200,178200,156872,27954590400,-1.0989,12470,-5570,-6194,16950,-9476,-12840,724,118,-1670,-965,259,0
2020-12-10,177210,179685,175230,179685,388533,69813552105,0.8333,-50282,-121271,172352,32235,119466,2073,42545,-319,-23749,-435,-364,101
2020-12-11,180180,180180,177210,178695,143946,25722430470,-0.551,-2845,-3307,7169,21519,575,-13464,3331,-352,-4231,-910,-107,-209
2020-12-14,177705,177705,173250,173745,197662,34342784190,-2.7701,44702,-7050,-33184,14089,-22138,-18402,1499,-131,-8056,-4687,219,-45
2020-12-15,173745,173745,168795,170280,152204,25917297120,-1.9943,6381,-10223,3695,14781,-6592,-3379,1257,-23,-2339,209,-62,-10
2020-12-16,171270,172260,169290,171270,97010,16614902700,0.5814,-9731,4435,5379,16787,-12425,-370,-115,0,1504,-203,120,-2
2020-12-17,167310,167310,158895,159885,1122966,179545418910,-6.6474,405708,17358,-44213,-33005,-16564,6594,-5917,-166,5054,-380442,1589,-209
2020-12-18,160875,162360,158895,160380,162232,26018768160,0.3096,33577,-10848,-26882,-2053,-12942,-7947,-944,123,-1843,4087,66,-1276
2020-12-21,160380,160380,155430,156915,161286,25308192690,-2.1605,-13666,24708,-11628,-1181,-3120,-2670,-169,-9,-4479,382,204,0
2020-12-22,155925,156915,152460,152955,166164,25415614620,-2.5237,33426,-11789,-21897,3791,-4648,-7877,-8399,0,-4651,-33,293,-113
2020-12-23,152955,156420,150975,151470,149781,22687328070,-0.9709,14658,3880,-19866,-11313,-6336,-5864,1024,0,2630,511,817,-7
2020-12-24,151470,156915,149985,156420,132612,20743169040,3.268,-39371,18177,8798,3312,-102,3085,-127,0,2630,12456,-60,0
2020-12-28,156915,157410,153450,154935,115532,17899950420,-0.9494,-3822,4944,191,-2055,-3904,1268,-2365,0,6928,-994,-319,319
2020-12-29,154935,158895,153450,156915,110675,17366567625,1.278,8306,2696,-16223,-139,-3566,-2971,483,-300,-9730,5154,67,0
2020-12-30,156915,159390,155925,158400,117495,18611208000,0.9464,2280,-1311,8812,-668,-2252,5317,-935,-185,7535,-8833,-948,0
2021-01-04,158400,158895,154440,156420,152926,23920684920,-1.25,18605,-869,-15784,-11099,-3388,2080,-1099,42,-2320,-1857,-95,0
2021-01-05,155430,157410,153945,156915,168962,26512672230,0.3165,-20290,18871,-6399,10114,-11158,-95,-1167,29,-3785,7882,-64,-337
2021-01-06,158400,159390,155925,156915,148194,23253861510,0.0,7536,8722,-15129,-1364,-2998,-910,-1377,0,-8480,-1555,426,0
2021-01-07,156915,157905,155430,155430,139860,21738439800,-0.9464,22874,7457,-28633,-24730,-9012,-6698,2594,0,9213,-1565,-133,0
2021-01-08,156420,160380,153450,158895,285332,45337828140,2.2293,-30908,20835,23227,-4311,6942,10523,12717,0,-2936,-13689,535,292
2021-01-11,160380,160875,152460,152955,253932,38840169060,-3.7383,66171,-16807,-48714,-30236,8706,-3341,-574,0,-23269,-846,196,0
2021-01-12,152955,155430,148500,151965,202504,30773520360,-0.6472,39483,-6252,-34007,5417,-1241,-8258,-8624,298,-21599,850,-74,0
2021-01-13,151965,178200,151470,166815,2079262,346852090530,9.772,-197357,37523,167656,-18677,56832,109281,2225,-154,17556,-5210,-2612,593
2021-01-14,164835,168795,161865,164340,341487,56119973580,-1.4837,-33589,6589,1225,-12249,10370,10124,-5542,0,-4721,25646,129,3243
2021-01-15,159390,160875,155430,155430,689611,107186237730,-5.4217,249774,21707,-260484,49861,-86885,-172605,-8815,-466,-32454,-11667,670,-9120
2021-01-18,154440,166815,152955,163845,630687,103334911515,5.414,-149360,25890,119950,110591,22465,-22065,8249,590,4870,3013,507,-4750
2021-01-19,166320,172755,165330,171765,459733,78966038745,4.8338,-100609,29593,78140,49839,17957,3214,3049,56,5119,-6900,-224,-1094
2021-01-20,172260,175230,167310,174240,423998,73877411520,1.4409,-44848,-7242,55449,80124,241,-31626,9107,71,-5904,-3090,-269,3436
2021-01-21,176220,176220,171270,171270,242491,41531433570,-1.7045,-1412,13330,-10284,22951,-6130,-46063,11809,0,7103,-830,-804,46
2021-01-22,171270,196020,169785,190575,2251812,429139071900,11.2717,-221406,74440,151003,61029,34163,30931,21029,-4088,7976,-4169,132,-37
2021-01-25,199980,214830,195525,201465,1884652,379691415180,5.7143,-39934,-9017,52554,38667,16468,-6840,512,762,1882,-2004,-1599,1103
2021-01-26,201465,216810,192555,208395,906368,188882559360,3.4398,1964,-6154,7844,36484,-4130,-4097,-13864,1000,-6335,-3597,-57,-1214
2021-01-27,205920,219285,204434,205425,1003201,206082565425,-1.4252,-2926,-38472,39805,33476,15346,-37386,7089,664,20571,187,1406,45
2021-01-28,210870,222750,206415,217800,1653828,360203738400,6.0241,-38377,-87609,137195,109358,37180,-36363,24026,1855,2209,-10809,-400,-1070
2021-01-29,219780,219780,198495,202455,773127,156523426785,-7.0455,9452,-16542,10789,17932,1392,-16766,2658,238,6394,-4799,1100,-1059
2021-02-01,202455,215325,197009,215325,608089,130936763925,6.357,-62672,12365,44989,24061,14454,1393,878,35,4933,6541,-1223,-765
2021-02-02,216810,240075,211365,230175,1363038,313737271650,6.8966,-85334,97646,-8094,6183,9673,-4321,172,-1789,-17832,-4026,-192,-180
2021-02-03,229185,238589,223245,230175,545274,125508442950,0.0,-28217,28719,-2887,4748,-1620,-6660,-1011,-162,1681,1180,1205,137
2021-02-04,231660,244530,226215,239085,861501,205971966585,3.871,-90739,61278,33892,25296,6443,3909,3079,991,-9585,-3953,-478,3759
2021-02-05,241065,247005,235125,240570,400509,96350450130,0.6211,-34837,12955,20960,4986,1954,9214,2670,68,2227,459,463,-159
2021-02-08,244530,248985,240570,243045,327089,79497346005,1.0288,-1865,6015,-1353,-1423,5471,-9184,-1004,74,4719,-3043,246,-6
2021-02-09,239580,240075,227699,228690,583871,133525458990,-5.9063,19419,45287,-65323,-2732,-17450,-27153,-5941,-232,-10952,-200,817,-863
2021-02-10,229680,238590,228195,229185,389109,89177946165,0.2165,53040,16766,-70781,-33038,-11068,-13389,-1687,10,-11129,1276,-301,-480
2021-02-15,230670,234630,223740,224235,306380,68701119300,-2.1598,37339,15492,-55473,-5026,-25571,-14510,-6325,0,-4041,2149,493,0
2021-02-16,225720,253935,225225,245520,935265,229626262800,9.4923,-10418,17370,-8527,-18257,6895,10869,-415,-1000,-6619,2165,-590,0
2021-02-17,245025,252450,239580,246510,393721,97056163710,0.4032,4959,-27744,21686,7818,-505,18134,-219,-1,-3600,647,452,59
2021-02-18,252450,256410,237105,239085,436416,104340519360,-3.012,35557,-40669,7621,6124,4576,1033,145,-770,-3127,-2724,215,-360
2021-02-19,240075,243540,226710,232155,342692,79557661260,-2.8986,79515,-45314,-38186,-3464,-11835,-22232,200,-177,-448,3547,438,-230
2021-02-22,233640,234135,224235,224730,225597,50698413810,-3.1983,34767,-16534,-16177,6345,-8219,-9655,-307,0,-4301,-2405,349,-40
2021-02-23,225225,232155,218790,226215,209046,47289340890,0.6608,11863,-9487,-2813,-11713,-2226,2458,2480,-73,6193,229,208,68
2021-02-24,232154,237105,207900,208890,572749,119641538610,-7.6586,92200,-24949,-62967,-19347,-640,-38052,-3668,-356,-1116,-5169,885,212
2021-02-25,212850,214335,202950,209880,385862,80984716560,0.4739,48961,-23854,-24360,372,-11320,-13812,-1600,-18,2049,-740,-7,-31
2021-02-26,200475,206910,198495,204435,274114,56038495590,-2.5943,16787,8207,-25656,-9387,-3617,1192,774,-798,-13820,361,301,0
2021-03-02,210870,214335,203940,204930,176498,36169735140,0.2421,11561,-16252,3517,757,460,94,-1638,0,3844,-1660,2834,0
2021-03-03,207900,212355,205919,210375,726953,152932737375,2.657,34079,-39509,5146,-5536,-404,6328,-1215,0,6081,97,187,-108
2021-03-04,207405,214830,206910,210870,235437,49646600190,0.2353,42771,-38879,-4796,1271,805,983,-1621,0,-6169,681,223,-65
2021-03-05,207405,207899,202455,205425,166537,34210863225,-2.5822,43843,-30410,-12169,1242,-3739,-3473,-2521,-669,-3309,-508,-756,300
2021-03-08,207405,213345,203940,205920,283093,58294510560,0.241,54377,-94421,40006,6147,-638,6541,24550,-37,3625,388,-350,-182
2021-03-09,207405,208890,195030,198000,303435,60080130000,-3.8462,88076,-99256,9783,-1228,2976,3235,2000,0,2987,1377,20,-187
2021-03-10,201465,201960,190575,191070,215289,41135269230,-3.5,38598,-21813,-16749,-384,-5582,-6613,-1900,0,-2270,-288,252,0
2021-03-11,192555,211365,191070,209385,446049,93395969865,9.5855,5333,-77539,68289,7309,22603,32040,2986,-10,3681,3636,281,-320
2021-03-12,212850,226215,212355,225720,461596,104191449120,7.8014,-93559,16950,62555,5376,9448,44655,-2554,-127,5510,13214,840,247
2021-03-15,217800,224235,211860,215820,355512,76726599840,-4.386,39673,-39886,-1365,42,7123,-8119,250,0,-1857,-494,2072,1196
2021-03-16,218789,220770,213840,216810,181446,39339307260,0.4587,19799,-19483,-2586,-7970,3778,2186,-1530,0,950,1296,974,0
2021-03-17,217800,231660,217800,228690,387484,88613715960,5.4795,-26361,-2170,17143,-5430,2744,15680,-35,0,4184,1339,10049,0
2021-03-18,229680,233145,227700,231660,255292,59140944720,1.2987,-21007,8151,22096,1912,5454,5071,6827,0,2833,104,-9344,-1
2021-03-19,226215,229185,220770,223740,211070,47224801800,-3.4188,56028,-19723,-36215,-4764,-8561,-17380,219,0,-3723,-1834,1744,-2006
2021-03-22,225225,232155,224235,227700,202809,46179609300,1.7699,-33982,1309,17104,-6065,8534,9600,913,0,4122,15119,450,0
2021-03-23,229680,232155,217800,219780,182932,40204794960,-3.4783,23551,611,-20775,-8053,-1081,-9955,-303,0,-1382,1223,-4610,-1
2021-03-24,218789,223245,213840,216810,144804,31394955240,-1.3514,16781,10909,-29102,-11079,-4507,-12575,-16,0,-925,978,434,0
2021-03-25,216810,233145,216315,233145,306749,71516995605,7.5342,-30962,17608,4562,-9366,2204,11300,289,0,135,1042,7750,0
2021-03-26,234630,240570,226710,239580,396518,94997782440,2.7601,-48085,16246,28865,-5016,6075,24893,3398,48,-315,3345,-371,-218
2021-03-29,241065,241065,231659,234135,225213,52730245755,-2.2727,27906,-19043,-15549,-5780,-2624,-3660,-1010,49,-2524,7172,-486,0
2021-03-30,235620,246015,234630,240075,359390,86280554250,2.537,-13534,-16134,11056,-9583,13533,1024,5644,0,438,16662,1950,0
2021-03-31,242550,248490,238590,240570,276932,66621531240,0.2062,3192,3319,-10516,-1575,-7467,1403,-1967,91,-1035,5712,-1707,34
2021-04-01,243540,244530,231660,236610,281903,66701068830,-1.6461,38893,-9426,-44058,-3487,-15878,-8493,-6613,23,-9610,9937,4654,0
2021-04-02,237600,241065,231660,240570,586848,141178023360,1.6736,28577,2236,-30632,-6355,-7845,-14846,-552,0,-1012,-6827,6646,-22
2021-04-05,252450,262350,241065,245520,1677346,411821989920,2.0576,-33059,6784,31595,-29526,7816,36082,9530,-15,7743,-7090,1770,-35
2021-04-06,250470,261855,248985,256410,922890,236638224900,4.4355,-24732,-37685,64345,18735,29593,13266,5216,-68,-2340,-2000,72,-57
2021-04-07,259380,276705,253935,273240,1032090,282008271600,6.5637,-47014,-17699,66090,7794,28807,23389,7046,1091,-2036,2510,-3887,-1
2021-04-08,275220,282150,262350,264330,633549,167466007170,-3.2609,115044,-47276,-49241,-13023,-13445,-19241,-4586,-204,1203,-658,-17869,55
2021-04-09,265320,269280,254430,255420,510218,130319881560,-3.3708,69703,-1935,-52699,-19446,-10987,-16113,513,-1508,-5359,-13092,-1977,201
2021-04-12,253440,259875,247500,249975,458542,114624036450,-2.1318,57384,-3449,-50561,-21088,-17695,-7129,-3235,193,-1667,-4269,895,60
2021-04-13,252945,255915,248985,249975,320695,80165732625,0.0,41155,-15510,-20000,-16488,-20843,22867,-4819,-429,-287,-5193,-452,-1
2021-04-14,239085,244530,229680,233145,1019699,237737723355,-6.7327,104488,-93877,-12287,-25853,-10678,47657,-20128,-388,-2863,2683,-1007,-34
