date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-05-11,210000,222500,154000,154500,11320278,1748982951000,0.0,2007671,-2071088,82783,134811,24851,-34550,7392,-970,-36889,-26134,6768,-11862
2021-05-12,152000,160000,141000,147500,4973674,733616915000,-4.5307,529331,-552513,33341,22721,-1220,4744,5952,200,1898,-4722,-5437,-954
2021-05-13,145500,149500,142500,144000,1853703,266933232000,-2.3729,-17740,-19856,35253,24961,1156,6621,1790,0,1035,2849,-506,-310
2021-05-14,146500,148000,140000,141000,1510892,213035772000,-2.0833,157778,-149014,1098,2000,3641,-4112,183,0,-614,-11394,1532,0
2021-05-17,142500,143000,138000,138000,931047,128484486000,-2.1277,30479,-40677,11300,8328,2989,-380,1153,0,-1028,-1468,366,238
2021-05-18,139000,146500,138500,144000,1474901,212385744000,4.3478,-114673,99980,20196,5936,5123,-1865,7636,0,3366,-5288,-215,0
2021-05-20,145000,146500,141000,142000,585820,83186440000,-1.3889,22217,-33843,8335,452,189,3744,268,0,3682,2839,452,0
2021-05-21,144000,145000,142000,143500,468288,67199328000,1.0563,-21818,-15093,51703,46956,1600,-2505,1078,0,4574,-14592,-200,0
2021-05-24,144500,145000,141000,142500,368061,52448692500,-0.6969,-52022,16118,35660,27079,9406,333,2746,0,-3904,325,-81,0
2021-05-25,143500,144000,141000,142000,300026,42603692000,-0.3509,-15903,-1196,18586,10711,2504,79,3386,0,1906,-1981,494,0
2021-05-26,141000,142000,140500,141500,298091,42179876500,-0.3521,9819,-35094,24141,14938,1632,5926,2370,0,-725,826,308,0
2021-05-27,141500,144500,141500,142000,298994,42457148000,0.3534,-11725,925,9032,-3,771,5798,1713,0,853,1827,-59,-100
2021-05-28,143000,146500,142000,145000,716415,103880175000,2.1127,-99331,13765,85247,63157,4767,4438,7283,0,5942,959,-640,-340
2021-05-31,145500,149000,145500,149000,628140,93592860000,2.7586,-150588,103782,35436,29991,2637,200,1562,0,1046,11290,80,0
2021-06-01,149500,151000,147500,150000,497546,74631900000,0.6711,-116640,110331,5242,6484,3448,282,3084,0,-8056,878,189,0
2021-06-02,151000,151000,147000,149500,397954,59494123000,-0.3333,-99376,75444,22953,30351,1501,-5500,-209,-580,-2610,877,102,0
2021-06-03,149500,150500,148000,149500,294278,43994561000,0.0,-49224,21011,29459,32262,4084,-5063,625,0,-2614,-1007,-239,165
