date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2022-01-27,597000,598000,450000,505000,15946992,8053230960000,0.0,-2743204,-2886124,5773397,4002015,664433,449310,542337,-8124,139692,-148906,4837,-16266
2022-01-28,476000,483000,445000,450000,4559773,2051897850000,-10.8911,501613,-834320,316180,312808,17859,-21802,38484,134,-27354,9891,6636,-3949
2022-02-03,458000,495500,441000,477000,2918435,1392093495000,6.0,-467707,179980,287194,152154,28137,36559,42296,2751,24410,2575,-2042,887
2022-02-04,476500,505000,476000,504000,2088996,1052853984000,5.6604,-526906,118232,419222,188247,49957,132264,34352,5617,18210,-8116,-2432,-9425
2022-02-07,520000,548000,511000,548000,1911176,1047324448000,8.7302,-378665,116144,266914,88741,41790,46261,7042,384,86750,2223,-6616,-4054
2022-02-08,554000,577000,524000,542000,2583335,1400167570000,-1.0949,-97139,-48222,163113,50455,93118,2797,-12849,1426,30635,-18187,435,-2469
2022-02-09,550000,557000,505000,511000,2070704,1058129744000,-5.7196,79192,15282,-86434,23266,10111,-81234,-21409,296,-13992,-7537,-503,-3472
2022-02-10,507000,507000,471500,474500,2306815,1094583717500,-7.1429,573292,-321412,-261231,34920,-14493,-148997,-7076,897,-125553,10674,-1323,-929
2022-02-11,463500,484000,457000,482000,1411055,680128510000,1.5806,59526,56671,-121039,-18813,21991,-60071,-233,0,-63244,4438,404,-669
2022-02-14,473000,482000,459500,463000,3285402,1521141126000,-3.9419,-55436,271496,-214998,-78638,77006,-98997,-7084,-1634,-105219,-1261,199,-432
2022-02-15,460000,468000,450000,451500,825406,372670809000,-2.4838,160811,-212668,52742,31590,43252,-9260,-2823,-261,-9610,-3626,2741,-146
2022-02-16,464000,465000,449500,455500,961669,438040229500,0.8859,322816,-390247,61803,21397,51220,-6095,-736,0,-3981,4222,1406,-2
2022-02-17,454500,460000,447000,454500,711183,323232673500,-0.2195,32105,-127697,95176,35992,63112,-4976,1769,461,-1118,-112,528,-64
2022-02-18,448500,454500,448000,454500,418728,190311876000,0.0,-3094,-53072,56901,20764,51513,-6528,-5648,0,-3198,-883,148,-2
2022-02-21,450000,453000,447500,453000,327509,148361577000,-0.33,-20470,-44757,66145,33778,38614,-4149,-1134,0,-900,-909,-9,-64
