date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-01-25,66603,68105,59341,63849,6000794,383144696106,0.0,140766,-123739,25129,25592,-16536,-65145,66256,1225,13852,-44847,2691,-115
2021-01-26,65100,65851,63097,63348,1865208,118157196384,-0.7847,62671,-64151,-16132,-1642,16077,-21570,10975,-3880,-15100,18465,-853,-992
2021-01-27,63348,64099,58340,58841,2162240,127228363840,-7.1147,262398,-220432,-42407,5399,6256,-80612,10229,598,16773,-856,1297,-1050
2021-01-28,57338,62596,56587,60093,1649239,99107719227,2.1278,101672,-117498,26329,2392,30718,38909,23274,0,-69864,-10474,-29,900
2021-01-29,61094,61094,55586,55836,2208474,123312354264,-7.084,353941,-267051,-87537,-29053,-6185,-57990,17617,-664,-11633,-326,973,371
2021-02-01,55586,59341,55085,59091,1281811,75743493801,5.8296,-7855,-64366,20040,-21594,5665,11156,10813,-400,14473,51330,851,-73
2021-02-02,60593,62346,59091,60594,1624807,98453555358,2.5435,64302,-31958,13125,-16371,15026,11306,5622,-506,-2124,-44445,-1024,172
2021-02-03,61344,64099,60844,62597,1336883,83684865151,3.3056,-12375,-87354,90628,-6618,46530,43140,1835,3726,1536,8960,141,479
2021-02-04,64099,65100,59842,61345,1879722,115311546090,-2.0001,73103,-57268,-13595,-10168,3045,54383,-12340,-2736,-45930,-3109,869,151
2021-02-05,60844,61845,59341,60093,861065,51743979045,-2.0409,43829,-9781,-36030,-3001,-10255,-7248,-2606,0,-12920,1189,793,0
2021-02-08,60093,63097,59842,60343,672689,40592072327,0.416,-48712,35616,10607,-10587,7094,4439,-495,488,10041,2032,457,-373
2021-02-09,61094,61344,58590,58841,624170,36726786970,-2.4891,83841,-59869,-27659,-19967,-261,1624,-632,124,-8094,1504,2183,-453
2021-02-10,59091,59341,57338,58340,657561,38362108740,-0.8514,74608,-60336,-16099,-8912,-4894,-3880,5928,0,-4414,2707,-880,73
2021-02-15,58590,59091,56837,57339,632969,36293809491,-1.7158,116722,-63509,-56307,-20125,-6775,-17700,-5663,0,-5643,3252,-158,-401
2021-02-16,57839,58590,57338,57840,447610,25889762400,0.8738,23961,-25923,679,-4564,325,4396,-854,0,1154,933,350,222
2021-02-17,58089,58089,56086,56838,528748,30052978824,-1.7324,103017,-88324,-21831,-15914,-179,780,3034,0,-9552,5058,2080,0
2021-02-18,57088,57839,56337,56337,744520,41944023240,-0.8815,166344,-148741,-26541,-13422,684,-8338,-1310,44,-4199,8440,498,0
2021-02-19,56337,57338,55586,56838,542896,30857122848,0.8893,67876,-24526,-46836,-10830,235,-24082,-102,-2200,-9403,3425,61,-454
2021-02-22,57088,57338,55586,55586,568664,31609757104,-2.2028,93683,-23377,-75836,-41686,993,-22123,240,0,-13260,5702,-172,0
2021-02-23,55586,56587,55085,55336,671685,37168361160,-0.4498,89098,-93525,-1059,-10830,533,888,-1032,0,9407,4815,671,-25
2021-02-24,55586,55836,51830,52081,1197128,62347623368,-5.8822,162789,-211673,46249,-803,3772,32806,1287,0,10479,1974,661,-1292
2021-02-25,53582,58841,53082,58340,1463573,85384848820,12.0178,-144099,20109,125935,6531,42480,10882,14691,0,51379,-1999,54,-28
2021-02-26,55335,56337,54083,55586,1539459,85572367974,-4.7206,305179,-133028,-175392,-64232,-34631,-23400,5756,0,-58210,2088,1153,-675
2021-03-02,56587,57338,54083,54584,960153,52408991352,-1.8026,107921,-148254,30119,30760,-4499,-13288,-2035,0,19181,10030,184,0
2021-03-03,54334,56086,54083,55586,487726,27110737436,1.8357,46860,-81335,36909,24446,-162,6458,-2803,0,9223,-2529,95,-253
