date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-11-03,180000,230000,173000,193000,11799881,2277377033000,0.0,-541814,-1049568,1618620,1241396,321396,35803,161527,-898,-128620,-35114,7876,-11984
2021-11-04,190000,191000,166000,169000,3487030,589308070000,-12.4352,235429,-591306,359667,314555,36546,1191,11653,0,-4428,-1220,-2570,150
2021-11-05,167500,179000,167500,170000,1597937,271649290000,0.5917,-202514,101631,95261,51864,21318,3631,7987,100,8361,3870,1752,2000
2021-11-08,168500,169500,152000,153500,1394625,214074937500,-9.7059,27815,-48849,22709,16809,6624,-522,5299,25,-5826,-1113,-562,300
2021-11-09,153500,157500,146000,147000,892617,131214699000,-4.2345,10931,-48873,34477,51885,-2208,-12028,3006,0,-10578,4131,-666,4400
2021-11-10,148000,153500,147000,150500,615031,92562165500,2.381,-104991,46662,58613,31082,16439,154,4778,0,660,162,-446,5500
2021-11-11,148000,150000,140000,145500,768779,111857344500,-3.3223,-90,53028,-52979,-23968,-21020,-614,-6666,0,-711,-80,121,0
2021-11-12,146000,158000,146000,157500,705982,111192165000,8.2474,-209528,161708,47211,28541,11249,3417,4626,0,-622,1494,-885,0
2021-11-15,157500,166000,155000,163000,472684,77047492000,3.4921,-94485,51018,42465,39769,442,-1550,2377,0,1427,874,128,0
2021-11-16,163500,170000,160000,166500,497032,82755828000,2.1472,-80492,13407,73119,73669,-10827,4160,2784,0,-667,-6260,226,4000
2021-11-17,170000,174000,167500,171000,575581,98424351000,2.7027,-12210,-107241,117816,88566,20352,9179,5142,0,-1423,1550,85,-4000
2021-11-18,171000,173500,165000,172500,274048,47273280000,0.8772,-70283,22450,46923,35744,3589,-5578,4960,-25,8233,75,835,0
2021-11-19,172000,176500,169500,173500,302251,52440548500,0.5797,-92884,-15334,108167,80273,13656,7604,6363,0,271,238,-187,0
2021-11-22,172500,173000,166000,170000,216939,36879630000,-2.0173,-37020,11535,25872,50427,-15122,-5750,-510,0,-3170,-274,-113,-3
2021-11-23,167500,177000,167000,177000,388843,68825211000,4.1176,-146526,87393,60798,72871,-11451,-8,3409,0,-4023,-1104,-561,0
2021-11-24,178500,188000,177000,183000,694628,127116924000,3.3898,-192278,52414,143338,123939,5209,827,4932,0,8581,-2832,-642,-150
2021-11-25,185500,229500,183000,216500,2164946,468710809000,18.306,-377745,121197,202048,149417,20194,8253,17133,127,7768,55663,-1163,-844
2021-11-26,213000,243500,207000,222500,3201357,712301932500,2.7714,-203938,-50600,247158,95100,43678,94306,14892,0,-618,9321,-1941,-200
2021-11-29,221000,240000,216000,238500,1259486,300387411000,7.191,-204947,46647,161988,81957,15532,55228,1658,0,3113,-3501,-187,4500
2021-11-30,240500,248500,216500,218000,1395664,304254752000,-8.5954,-49010,15057,37546,63317,-10791,-11596,-3646,0,262,-3667,74,0
2021-12-01,221000,229500,203500,207500,1100138,228278635000,-4.8165,15825,97018,-114408,33674,-47404,-83253,-17171,0,-254,1324,241,0
2021-12-02,204000,214500,198000,208000,692763,144094704000,0.241,-79533,32548,45758,61133,-8531,-7885,1274,0,-233,-932,2159,0
