date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-05-21,72000,93600,72000,82500,2774180,228869850000,0.0,-17816,-2431,-1295,-2840,-23593,24099,959,0,-261,18953,2589,341
2021-05-24,83600,91000,81500,89000,879900,78311100000,7.8788,-6451,1009,6939,1289,-3256,7553,-577,136,1751,508,-2005,43
2021-05-25,88600,89000,83200,86000,514200,44221200000,-3.3708,18759,1298,-19950,-20953,556,1172,244,-293,-560,-121,14,-116
2021-05-26,86000,88600,81199,87300,503055,43916701500,1.5116,12189,-12958,800,-15521,4073,7828,2279,110,1985,243,-274,46
2021-05-27,86000,87400,84400,87300,349185,30483850500,0.0,9658,-11770,1976,-10407,1817,10314,-142,421,-71,93,43,44
2021-05-28,86800,92000,86500,89400,409900,36645060000,2.4055,-4224,1084,-2981,-11566,1035,6737,343,0,470,604,5517,0
2021-05-31,89500,90000,86400,89900,233425,20984907500,0.5593,3386,-79,-2683,-3931,811,-318,1478,0,-723,-837,213,0
2021-06-01,89900,99000,89400,98500,689000,67866500000,9.5662,-13026,13492,588,-11894,2486,12211,-138,0,-2151,-1101,47,74
2021-06-02,97900,99200,95300,96600,362955,35061453000,-1.9289,14891,-6002,-9122,-15627,2733,1486,973,0,1313,-4,237,0
2021-06-03,98200,103000,95800,99400,477360,47449584000,2.8986,17911,-1341,-12636,-8040,-4411,-2138,356,175,1372,-459,-3475,50
2021-06-04,99100,102600,96900,97000,225575,21880775000,-2.4145,16122,-2828,-13370,-11197,-402,-2848,784,0,293,56,20,0
2021-06-07,96399,100600,95300,96600,261380,25249308000,-0.4124,9589,840,-12025,-14154,361,-91,1038,0,821,665,931,0
2021-06-08,95900,98500,94600,97500,188720,18400200000,0.9317,2256,-1598,-2023,-2355,-858,1202,-305,78,239,293,1072,-24
2021-06-09,97700,104000,97700,101600,331695,33700212000,4.2051,-2272,1253,1239,-5469,603,4405,2131,-450,-19,-215,-5,38
2021-06-10,101600,106400,100800,106400,313525,33359060000,4.7244,5132,960,-4400,-8299,-72,1335,-1744,0,2351,-1659,-33,2029
2021-06-11,106400,108000,101800,103200,346140,35721648000,-3.0075,13693,5497,-20374,-5815,-4958,-8245,-1535,107,72,1159,25,0
2021-06-14,102600,104000,100400,101000,178030,17981030000,-2.1318,12831,-130,-13408,-8887,-3510,-454,-17,0,-540,759,-52,0
2021-06-15,102000,105400,101000,103200,231090,23848488000,2.1782,-6572,7424,-901,-6338,1723,3762,-53,0,5,61,-12,0
