date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-11-29,82000,85000,73900,76000,8764092,666070992000,0.0,668432,-435332,-187267,223982,134199,20738,-55954,-15327,-480964,-46467,634,-13941
2021-11-30,77900,80500,68000,68000,6863151,466694268000,-10.5263,1177007,-381113,-750995,-483244,417,-55203,-55660,1083,-159588,-47743,2844,1200
2021-12-01,68400,69400,61900,62700,4481654,280999705800,-7.7941,1007800,-753441,-273471,-136327,-47509,-64662,-4298,149,-15511,16598,2514,-5313
2021-12-02,61900,72100,61500,68700,7312303,502355216100,9.5694,-27191,156801,-127617,-200638,51267,65132,12148,2598,-56588,-4924,2931,-1536
2021-12-03,67400,70200,65500,66000,3301896,217925136000,-3.9301,772392,-381469,-411141,-214576,-109541,-25758,-21347,0,-38808,22785,-2567,-1111
2021-12-06,64000,69300,63700,66000,11832989,780977274000,0.0,553380,-1255006,641094,209741,37580,96393,23264,0,274779,58774,1758,-663
2021-12-07,66800,68200,65500,65600,2244270,147224112000,-0.6061,600882,-645501,1184,-16511,-8849,13767,-11464,15000,9241,43766,-331,0
2021-12-08,66700,67800,64600,64600,2294736,148239945600,-1.5244,332682,-332753,-8880,-79938,-5810,5567,-822,-1768,74968,7689,1262,-1077
2021-12-09,64500,65100,62800,65100,3184427,207306197700,0.774,318366,-758834,436049,-67787,498505,-947,-53777,0,62133,3038,1381,-2078
2021-12-10,64100,64900,63200,63300,1443615,91380829500,-2.765,398262,-269736,-131984,-49785,24579,-37108,-37238,0,-26997,2879,579,-5435
2021-12-13,63300,64400,63000,63000,1178159,74224017000,-0.4739,200150,-178639,-25296,13674,-7497,-4147,-30332,0,2329,3304,481,677
2021-12-14,62600,62800,60600,60600,1917405,116194743000,-3.8095,521334,-365648,-145307,-6941,-107449,-655,-17361,-29,-14426,-9148,-1231,1554
2021-12-15,59500,60900,58000,58200,2260768,131576697600,-3.9604,682856,-505254,-177528,-76478,-70106,-6432,-9651,-15000,2139,-3568,3494,-2000
2021-12-16,59000,59400,56100,56400,2564560,144641184000,-3.0928,714839,-676460,-61025,-52783,-4995,-4879,-19743,306,21929,20579,2067,-860
