date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2024-05-08,119900,166100,111500,163900,15839203,2596045371700,0.0,-589453,-432210,1042437,820703,187585,-5447,77926,-5223,-10220,-23492,2718,-22887
2024-05-09,170200,195000,152300,152300,7369568,1122385206400,-7.0775,341122,-305899,-25301,52168,-32770,-57246,16036,118,-3926,-9833,-89,319
2024-05-10,152100,180600,145600,180600,7383735,1333502541000,18.5817,-98116,-61030,157184,58273,34635,50670,8555,25,5216,715,1247,-190
2024-05-13,180600,199200,175400,193400,7464118,1443560421200,7.0875,-25408,-147251,172639,33474,38697,91461,9885,257,-958,-1335,1355,-177
2024-05-14,192400,207500,185400,205500,3930226,807661443000,6.2565,-132572,33305,99359,43063,10044,44693,1786,0,-56,-81,-11,-171
2024-05-16,202000,205500,193800,198600,1385823,275224447800,-3.3577,-73941,-20775,79236,51658,-9352,35640,-1713,0,3174,15056,424,-171
2024-05-17,197400,201000,190200,196300,1392900,273426270000,-1.1581,-46018,-23042,66804,67258,3267,6350,-14068,1000,3172,2974,-718,-175
2024-05-20,194100,196300,164600,165000,1749222,288621630000,-15.945,82371,-47529,-35835,6265,-4695,-26947,-5571,0,-4887,1135,-142,0
2024-05-21,165600,173100,155400,166000,1947448,323276368000,0.6061,115388,-92367,-21463,-4219,-6186,-7534,113,-1000,-2637,-135,-1423,0
2024-05-22,164100,169900,159000,160100,1177279,188482367900,-3.5542,-27889,-4530,31565,11696,-421,20582,-945,0,653,590,264,0
2024-05-23,159000,159900,148500,149700,915526,137054242200,-6.4959,12186,-18088,16289,2973,15325,6412,-1639,0,-6248,-12042,1655,-534
2024-05-24,147700,157600,147500,148500,1040127,154458859500,-0.8016,-21764,8886,22328,14494,8127,-904,-63,0,674,-7755,-1695,0
2024-05-27,150200,152700,135300,137000,1295097,177428289000,-7.7441,256970,-27137,-221901,-14277,-60008,-129786,-2448,-1468,-11288,-9603,1671,-2626
2024-05-28,136800,141500,132100,134300,1189522,159752804600,-1.9708,53552,26415,-79287,15554,4114,-91641,-484,-323,-6507,738,-1418,0
2024-05-29,134000,134900,126000,126200,692470,87389714000,-6.0313,8129,-3289,-323,10318,-7815,-5092,-3799,0,6065,-3753,-764,0
2024-05-30,125900,142000,125000,130400,2695771,351528538400,3.3281,-1665,-113289,112012,104673,1219,5546,2399,0,-1853,2369,573,28
2024-05-31,131400,135600,127200,131000,867268,113612108000,0.4601,-69139,-715,69929,68773,3157,-2237,-99,0,335,-53,-22,0
2024-06-03,133500,136700,131300,132000,509833,67297956000,0.7634,-20056,-10067,30096,17765,2468,8684,342,0,837,-297,324,0
2024-06-04,133400,146700,130300,143000,1272727,181999961000,8.3333,-106278,7186,92129,63084,2575,24149,3806,0,-1485,7126,-163,0
2024-06-05,142500,149100,139200,142800,1059288,151266326400,-0.1399,-129507,-3203,130710,76210,6849,37378,10622,0,-349,846,1154,0
2024-06-07,141600,145300,131500,131500,633980,83368370000,-7.9132,69969,-40285,-27534,50477,-31110,-49932,294,0,2561,-774,-1376,176
2024-06-10,129300,142200,127200,136700,808844,110568974800,3.9544,-61186,60570,588,104604,-13814,-69084,3576,-5905,-8308,-405,433,-10481
2024-06-11,136900,140800,132500,137000,405338,55531306000,0.2195,-31095,-21481,53334,54242,382,-2546,1755,0,-499,-25,-733,0
2024-06-12,139000,147400,138200,145200,649497,94306964400,5.9854,-111682,38235,67166,88874,-18992,-5198,2067,710,-295,6568,-287,0
2024-06-13,145200,156300,142500,149700,794320,118909704000,3.0992,-167242,21522,145743,138675,5281,-3061,3969,385,192,706,-729,302
