date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2023-11-17,43000,65800,42950,57200,40145574,2296326832800,0.0,4687706,-2416469,-2316611,-217540,-701675,-834087,-292603,-5154,-195329,19444,25930,-70223
2023-11-20,66000,74300,61500,74300,9254377,687600211100,29.8951,1394,42044,-76597,-17835,-29766,-22811,3120,0,-9095,39443,-6284,-210
2023-11-21,85300,96500,83400,96500,16373917,1580082990500,29.8789,275292,-114382,-170643,19066,-48534,-127278,-2440,0,-11457,2948,6785,0
2023-11-22,96300,108500,88200,91200,14743137,1344574094400,-5.4922,210346,-135715,-103602,-10810,-33093,-45064,-2520,0,-12115,16032,12939,0
2023-11-23,90900,101600,88900,99100,7749291,767954738100,8.6623,-71912,115133,-19231,2337,-23961,1406,835,0,152,-13847,-10143,0
2023-11-24,98500,102000,95000,99100,4624663,458304103300,0.0,127078,-78525,-43903,2932,-14057,-31570,-1357,0,149,1664,-6314,0
2023-11-27,103900,128800,102200,124600,12950817,1613671798200,25.7316,-538867,459800,42741,37981,6157,4380,2317,0,-8094,32333,3993,0
2023-11-28,122300,134100,110500,133000,8556058,1137955714000,6.7416,305039,-311288,10499,1524,13880,-2089,-2394,0,-422,-10276,6026,0
2023-11-29,129900,151200,126500,136500,9396619,1282638493500,2.6316,148999,-83458,18808,-47,21909,390,358,0,-3802,-86436,2087,0
2023-11-30,137200,144300,132300,137000,2990214,409659318000,0.3663,8211,-5373,7481,0,8933,4103,-359,0,-5196,-6376,-3943,0
2023-12-01,137000,138900,129000,136400,2075076,283040366400,-0.438,12347,1298,-12419,-3511,5735,-11006,-354,0,-3283,-513,-713,0
2023-12-04,145200,154000,136400,137500,2831258,389297975000,0.8065,-2828,1298,20854,15000,9737,-2892,-36,0,-955,-20855,1531,0
2023-12-05,137500,140200,127500,131800,1776760,234176968000,-4.1455,39469,-1628,-37709,0,-385,-36699,361,0,-986,1521,-1653,0
2023-12-06,129500,132000,119700,121700,2385104,290267156800,-7.6631,-12777,3425,-566,-4042,1626,7110,-4461,0,-799,10663,-745,0
2023-12-07,122500,129900,111100,127000,3509075,445652525000,4.355,-57084,26183,20349,-1560,16298,11924,-1461,0,-4352,-10160,20712,-500
2023-12-08,126900,137500,121000,134400,3798928,510575923200,5.8268,-214900,124063,106057,0,104076,3739,0,0,-1758,1533,-16753,0
2023-12-11,143100,145000,136800,140200,2978251,417550790200,4.3155,-157085,49587,106362,1000,94110,-4643,7000,0,8895,1685,-549,0
2023-12-12,136300,142700,134000,140400,1665699,233864139600,0.1427,-113987,27682,83771,-439,88192,1875,1257,0,-7114,2526,8,0
2023-12-13,138300,141900,137300,140500,1273230,178888815000,0.0712,-71252,49444,32000,9475,26527,-575,2193,0,-5620,-9144,-1048,0
2023-12-14,141700,142600,135000,140500,1979256,278085468000,0.0,-27043,-139240,166397,-20657,206140,-25999,24737,0,-17923,4207,-4321,99
2023-12-15,144200,174700,142200,169000,10527968,1779226592000,20.2847,-565109,-6572,577655,563454,117237,-97705,8115,0,-13446,-4216,-1758,0
2023-12-18,171100,219000,170000,213000,9396125,2001374625000,26.0355,-427349,230709,182886,253243,93009,-184667,19896,0,1405,11375,2379,0
2023-12-19,215500,223000,197900,205500,4131277,848977423500,-3.5211,153782,-135340,-12000,4241,36226,-45310,2854,-320,-9691,-5884,-558,0
2023-12-20,201000,208500,194300,205000,2029032,415951560000,-0.2433,-3528,-675,-957,-2434,-6293,-5469,-400,0,13639,5608,-448,0
2023-12-21,198000,204500,196000,198900,1172815,233272903500,-2.9756,-14987,19238,-10834,103,-4220,-1141,-23,0,-5553,6522,61,0
