date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2023-10-05,59100,67600,46450,51400,23416071,1203586049400,0.0,4939169,-1658035,-2121651,236103,-76962,-176981,-5401,-25179,-91078,-1177654,18171,-1982153
2023-10-06,49550,53400,49100,51800,6183396,320299912800,0.7782,91553,-204405,70142,68159,-1263,6717,1267,-3610,-598,40082,2628,-530
2023-10-10,51200,51300,46300,46650,4693925,218971601250,-9.9421,355894,-354972,30173,29726,-3267,552,-383,0,3629,-25095,-6000,-84
2023-10-11,47600,49100,45400,46900,3303330,154926177000,0.5359,-19134,15739,-3079,0,470,331,1613,0,-5493,7537,-1063,0
2023-10-12,47250,50200,46700,47800,4428666,211690234800,1.919,-28789,6362,31012,6018,3578,16666,2058,0,2992,-10564,1979,-300
2023-10-13,47550,47600,45700,45750,1714981,78460380750,-4.2887,118362,-126276,6198,0,4477,-450,192,0,1979,463,1253,0
2023-10-16,44650,44700,41300,41650,2296251,95638854150,-8.9617,77408,-26536,-49358,-19403,-1471,-400,-1099,0,-26985,388,-1902,0
2023-10-17,42450,44050,42000,42400,2108796,89412950400,1.8007,-68960,-1967,74398,0,52605,2437,3790,0,15566,-2850,-621,0
2023-10-18,42450,43500,41100,41100,1281198,52657237800,-3.066,-16916,18388,53,0,-1405,35,1430,0,33,-1869,344,-40
2023-10-19,40750,40750,38150,38250,1320711,50517195750,-6.9343,54834,-12397,-40207,-20237,-9,-4299,-7991,0,-7671,-2698,468,0
2023-10-20,37050,37400,35150,35500,1404496,49859608000,-7.1895,73758,-27755,-20838,-2156,-5458,-3880,1050,0,-10394,-24705,-460,0
2023-10-23,34900,37250,34800,36000,1123104,40431744000,1.4085,-96674,30235,62734,-436,50599,1300,0,0,-2672,2099,1606,13943
2023-10-24,36650,37050,34650,36150,787565,28470474750,0.4167,44435,-35455,-11305,-593,-350,-712,681,0,-10331,2047,278,0
2023-10-25,36550,36600,35000,35100,504879,17721252900,-2.9046,24758,-23824,-3492,0,0,-975,0,0,-2517,2791,-233,0
2023-10-26,33800,34350,33200,33250,644789,21439234250,-5.2707,17995,-14469,-6966,0,-8130,-3831,0,0,4995,2338,1102,0
2023-10-27,33500,33650,32150,32300,608641,19659104300,-2.8571,-11745,6440,2566,0,-260,24,-8,0,3070,247,2492,-260
2023-10-30,32300,41950,32150,41150,8438127,347228926050,27.3994,-78729,80011,5909,-38,11088,-1687,-10059,0,6605,-6072,-1119,0
2023-10-31,40450,41000,36850,37250,3557781,132527342250,-9.4775,100949,-108843,4561,0,5,189,7073,0,-2706,4083,-750,0
2023-11-01,37250,42250,37250,40200,5184793,208428678600,7.9195,-87211,93802,-11391,3533,2737,4367,-6983,0,-15043,2002,2798,-2
2023-11-02,41000,43400,41000,41650,2616980,108997217000,3.607,-217480,70679,122954,53517,38564,3123,2880,0,23927,24650,-803,943
2023-11-03,43100,46250,41550,44800,4902547,219634105600,7.563,-188160,45393,166881,130599,-2625,17884,7767,0,13256,-25378,1264,0
2023-11-06,43900,48250,43350,46950,5550072,260575880400,4.7991,575284,-244463,-384986,90379,55314,-55527,8569,-10590,-12748,52469,1696,-460383
2023-11-07,46950,47000,43800,46000,1823105,83862830000,-2.0234,95157,-253837,153099,118033,14814,24132,2348,-977,-3898,6270,-689,-1353
2023-11-08,45950,48350,44650,47100,2999389,141271221900,2.3913,-135576,-8163,144765,172000,-1070,-30195,2228,0,2302,-982,-44,-500
2023-11-09,46600,48500,45800,47100,1803648,84951820800,0.0,-96467,-50258,173672,164857,9561,-6878,834,0,5298,-27230,283,0
2023-11-10,46250,47850,45950,46850,940634,44068702900,-0.5308,-73302,-24215,100484,139334,-17980,-20327,0,0,-543,-2797,-170,0
2023-11-13,47600,48100,42850,43550,1527166,66508079300,-7.0438,209,40475,-39742,82855,-37333,-29852,-9353,0,-45116,-623,-319,-943
2023-11-14,43000,45250,42550,43400,1072622,46551794800,-0.3444,23687,-49133,25270,70151,-6837,-14748,-2359,0,-20937,-51,227,0
2023-11-15,45100,48000,44150,46900,2827539,132611579100,8.0645,-373770,290591,97492,180786,-26608,-67247,1091,0,9470,-15164,851,0
2023-11-16,48500,51300,48250,51100,4587796,234436375600,8.9552,-279754,72584,213604,172036,7911,20350,-8,0,12587,-5989,-445,728
2023-11-17,50500,52400,48300,51400,2847700,146371780000,0.5871,175540,-299794,118672,37615,20288,73636,1662,0,-14529,5801,-219,0
2023-11-20,50800,61100,50200,58500,9112133,533059780500,13.8132,-357171,344723,-20,40372,-4491,-11978,-636,0,-22557,11373,1095,-730
2023-11-21,58200,60700,57300,59600,3954875,235710550000,1.8803,-280856,194495,81228,79044,3365,2239,2153,0,-5573,1016,4117,0
2023-11-22,59600,69100,59300,63600,11265423,716480902800,6.7114,41445,-121631,82663,202163,-59662,-48210,4478,0,-16106,-1650,-827,0
2023-11-23,64000,69600,63100,64300,6850460,440484578000,1.1006,-62978,84268,-23948,11373,-5009,-28458,-494,0,-1360,4790,-2132,0
2023-11-24,66500,75300,64700,74400,10028277,746103808800,15.7076,-491156,482277,46918,60590,10412,-28209,2532,0,1593,-32577,-5462,0
2023-11-27,76700,89100,75100,80100,13405683,1073795208300,7.6613,934936,-1098156,139388,101044,24628,19512,-47,0,-5749,17765,6067,0
2023-11-28,80100,82900,74700,81800,7395597,604959834600,2.1223,4911,-176576,153008,149803,925,-10491,-839,180,13430,16332,2325,0
2023-11-29,84600,94700,80900,82900,12924160,1071412864000,1.3447,-47930,-222718,179438,217784,-6132,-5429,-6955,0,-19436,86614,4596,-394
2023-11-30,84000,92900,84000,92900,6996550,649979495000,12.0627,-692044,604736,118869,122729,-5167,-1791,-894,0,3992,-25459,-6102,0
2023-12-01,95100,97900,88000,88800,5690146,505284964800,-4.4133,739728,-701086,-33388,2403,-6211,-21041,-6192,0,-2232,-773,-4481,-115
2023-12-04,84700,86300,78900,79900,3964221,316741257900,-10.0225,-170996,207107,-27512,-23239,-3028,-2827,-3371,0,5101,-9448,849,-148
