date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2023-05-31,16600,21580,16600,21580,750965,16205824700,0.0,-18146,-8592,27853,-319,706,-7,0,0,27473,-726,-389,0
2023-06-01,28040,28040,28040,28040,506180,14193287200,29.9351,1019,-1798,767,0,768,0,0,0,-1,15,-3,0
2023-06-02,34000,34980,30300,30300,11941920,361840176000,8.0599,66723,-55351,-9251,-1931,-1800,-4064,0,0,-1457,-2808,687,1
2023-06-05,30479,32380,28420,32380,7093055,229673120900,6.8647,11935,-12856,-1533,-684,-130,0,0,0,-719,2590,-136,0
2023-06-07,33160,42000,33140,42000,12706325,533665650000,29.7097,-30908,27929,23,0,0,-10,-1,0,34,-124,3080,0
2023-06-08,44000,48600,41400,45600,11761845,536340132000,8.5714,32877,-13505,-17712,-1591,0,0,-176,0,-15945,-1122,-538,0
2023-06-09,44400,48400,42500,47700,3289230,156896271000,4.6053,6393,-1302,-1960,-1958,0,0,0,0,-2,-2746,-385,0
2023-06-12,50000,62000,48700,62000,5689585,352754270000,29.979,-35995,7385,-15,-5,-45,0,0,0,35,28299,326,0
2023-06-13,66700,80600,66500,80600,9602070,773926842000,30.0,24787,-11336,-12540,-871,0,4,322,0,-11995,-2303,1392,0
2023-06-14,0,0,0,80600,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-15,86600,90000,72600,84000,8332430,699924120000,4.2184,-1621,-218,-311,-330,-97,0,0,0,117,1336,814,-1
2023-06-16,0,0,0,84000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-19,82600,87300,78000,87300,2759515,240905659500,3.9286,-497,1512,-1365,-872,-441,0,0,0,-52,233,117,0
2023-06-20,83400,86200,80600,80600,1927865,155385919000,-7.6747,-2088,1896,-808,-1246,573,0,0,0,-135,142,858,0
2023-06-21,80700,83000,70200,71500,4454765,318515697500,-11.2903,5735,2202,-4962,-4880,0,-15,0,0,-67,-1763,-1212,0
2023-06-22,68600,69900,60000,62800,5615270,352638956000,-12.1678,-7610,4155,-3,0,0,0,0,0,-3,3489,-31,0
2023-06-23,64000,71900,63100,67700,4303720,291361844000,7.8025,20597,-19220,-3333,-3252,0,-84,0,0,3,206,1750,0
2023-06-26,67700,70300,62499,67600,2845455,192352758000,-0.1477,5029,-4437,540,0,600,0,0,0,-60,-657,-475,0
2023-06-27,66600,66700,63000,63400,1436080,91047472000,-6.213,56573,-56883,-110,0,0,-2,0,0,-108,354,66,0
2023-06-28,65600,65600,60099,61000,1642365,100184265000,-3.7855,1670,-145,1,0,0,0,0,0,1,-5,-1521,0
2023-06-29,60000,60200,54300,55100,2326715,128201996500,-9.6721,-12396,12341,-1,0,0,0,0,0,-1,748,-692,0
2023-06-30,53800,64999,51400,65000,4851760,315364400000,17.9673,2367,-8927,4,0,0,0,0,0,4,2429,4127,0
2023-07-03,64600,67500,62300,66600,2727400,181644840000,2.4615,20404,-23716,-17,0,0,-8,0,0,-9,1503,1826,0
2023-07-04,66900,67000,62799,65500,1690245,110711047500,-1.6517,-1405,1264,-7,0,0,0,0,0,-7,-234,382,0
2023-07-05,64300,64400,62000,62300,1278830,79671109000,-4.8855,848,-2046,-10,0,0,0,-1,0,-9,1198,10,0
2023-07-06,59600,66400,58800,62500,1812345,113271562500,0.321,-1793,1579,-27,0,-3,0,0,0,-24,-130,371,0
2023-07-07,62099,62799,60800,62000,711920,44139040000,-0.8,-172,-902,-25,0,0,0,-37,0,12,1129,-30,0
2023-07-10,60999,61700,59400,59400,755040,44849376000,-4.1935,-2402,2858,-14,0,0,0,0,0,-14,544,-986,0
2023-07-11,60799,64800,60400,63000,1567330,98741790000,6.0606,-16940,15133,1592,0,0,1500,0,0,92,1237,-1022,0
2023-07-12,64400,64600,61000,62400,720920,44985408000,-0.9524,9566,-3711,-76,0,0,-4,0,0,-72,-1027,-4752,0
2023-07-13,61500,66400,61000,66300,1313870,87109581000,6.25,-14365,13405,1549,0,478,1423,-322,0,-30,-438,-151,0
2023-07-14,65300,69500,64000,68200,1704415,116241103000,2.8658,1029,-8429,3724,0,-207,-4,0,0,3935,829,2847,0
2023-07-17,66800,69300,62600,68300,1007585,68818055500,0.1466,1782,-1872,483,0,0,502,0,0,-19,1213,-1606,0
2023-07-18,67400,68700,66600,68300,1124250,76786275000,0.0,3634,-6569,486,0,0,495,0,0,-9,414,2035,0
2023-07-19,73500,74400,69400,72700,2672520,194292204000,6.4422,12073,-8751,-2784,0,0,-4000,0,0,1216,-1208,670,0
2023-07-20,70200,71100,67200,67600,1004645,67914002000,-7.0151,3750,-5546,544,0,99,35,3,0,407,1326,-74,0
2023-07-21,65700,67000,64300,65500,983540,64421870000,-3.1065,5676,2323,-4459,0,0,24,0,0,-4483,42,-3582,0
2023-07-24,63499,65299,61600,62000,1385705,85913710000,-5.3435,-4832,5680,-860,0,0,290,0,0,-1150,-351,363,0
2023-07-25,60100,65000,59400,59900,1797225,107653777500,-3.3871,4569,-3767,2,-46,6,14,0,0,28,-477,-327,0
2023-07-26,59300,59500,51000,54200,2694220,146026724000,-9.5159,-25321,25691,-54,-11,0,2,0,0,-46,-168,-148,1
2023-07-27,56200,62200,53000,54300,2351950,127710885000,0.1845,9458,-8609,245,-13,90,0,0,0,168,-849,-245,0
2023-07-28,53300,55200,51000,53800,1027385,55273313000,-0.9208,-555,1696,-13,0,0,0,146,0,-159,-949,-179,0
2023-07-31,53300,58400,53000,56900,917860,52226234000,5.7621,-10709,12035,-825,0,-791,0,-3,-290,259,-199,-302,0
